message,sentiment
I really enjoyed the movie,positive
The food was terrible,negative
I'm not sure how I feel about this,neutral
The service was excellent,positive
I had a bad experience,negative
This is a great product,positive
I wouldn't recommend this,negative
The price is a bit high,neutral
The weather is perfect today,positive
The traffic is horrible,negative
I'm feeling neutral about this,neutral
The concert was amazing,positive
The customer service was terrible,negative
This book is a masterpiece,positive
I regret buying this product,negative
The view from here is breathtaking,positive
I don't know what to think about this,neutral
The internet speed is slow,negative
The museum was fascinating,positive
The noise level is too high,negative
I don't have an opinion on this,neutral
The hotel room was spacious and clean,positive
The service at this restaurant was awful,negative
This software is very user-friendly,positive
The quality of the product is poor,negative
I don't really care about this,neutral
The beach was crowded,negative
This is an excellent company to work for,positive
The movie was a waste of time,negative
I'm undecided about this,neutral
The game was a complete disaster,negative
The scenery here is beautiful,positive
The speaker was very engaging,positive
I had a great time,positive
This product is overpriced,negative
I'm indifferent to this,neutral
The performance was outstanding,positive
The car broke down on the highway,negative
I don't have strong feelings about this,neutral
The food was delicious,positive
The service at this hotel was terrible,negative
This phone is amazing,positive
I'm not impressed with this,negative
I have mixed feelings about this,neutral
The weather is terrible today,negative
The book was a disappointment,negative
I don't care one way or the other,neutral
The hike was exhausting,negative
This is a fantastic product,positive
I don't know what to make of this,neutral
The customer service was great,positive
The noise level is tolerable,neutral
The hotel room was dirty and cramped,negative
I'm very pleased with this,positive
The traffic is light,positive
This movie was boring,negative
I have no opinion on this,neutral
The beach was beautiful,positive
The food was average,neutral
I regret wasting my money on this product,negative
The view from here is average,neutral
The museum was boring,negative
I don't really care about this topic,neutral
The hotel was noisy at night,negative
This software is difficult to use,negative
The game was exciting,positive
The speaker was boring,negative
I didn't enjoy this at all,negative
The car is in great condition,positive
I'm not sure what to think about this,neutral
The service at this restaurant was excellent,positive
The scenery here is average,neutral
This company is terrible,negative
The movie was great,positive
I'm not satisfied with this product,negative
I have no strong feelings about this,neutral
The weather is wonderful today,positive
The book was amazing,positive
I don't have a preference,neutral
The hike was refreshing,positive
This is a terrible product,negative
The performance was mediocre,neutral
I'm not sure if I like this,neutral
The food was not very good,negative
The service at this hotel was great,positive
This phone is not very user-friendly,negative
I'm impressed with this,positive
The traffic is moderate,neutral
This movie was entertaining,positive
I have no interest in this,neutral
The beach was peaceful,positive
The food was outstanding,positive
I regret not buying this product,positive
The view from here is stunning,positive
The museum was informative,positive
I don't have strong feelings either way,neutral
The hotel was comfortable,positive
This software is very complicated,negative
The game was challenging,positive
The speaker was inspiring,positive
I enjoyed this very much,positive
The car is not reliable,negative
I'm ambivalent about this,neutral
The service at this restaurant was mediocre,neutral
The scenery here is breathtaking,positive
This company is excellent,positive
The movie was okay,neutral
I'm not happy with this product,negative
I don't really have an opinion on this,neutral
The weather is nice today,positive
The book was okay,neutral
I don't care about this,neutral
The hike was invigorating,positive
This is a terrible company,negative
The performance was below average,negative
I'm not sure if I want to pursue this,neutral
The food was not bad,neutral
The service at this hotel was mediocre,neutral
This phone is just okay,neutral
The traffic is heavy,negative
This movie was disappointing,negative
I'm not interested in this,neutral
The beach was dirty,negative
The food was terrible and overpriced,negative
I regret buying this,negative
The view from here is unremarkable,neutral
The museum was dull,negative
I have no strong opinion on this,neutral
The hotel was noisy during the day,neutral
This software is frustrating to use,negative
The game was boring,negative
The speaker was uninteresting,negative
I did not enjoy this,negative
The car is expensive,negative
I'm unsure about this,neutral
The service at this restaurant was poor,negative
The scenery here is unimpressive,neutral
This company is awful,negative
The movie was terrible,negative
I'm very unhappy with this product,negative
I have no preference,neutral
The weather is awful today,negative
The book was boring,negative
I'm not interested in this topic,neutral
The hike was difficult,negative
